ID,Title,Description,Root Cause,Proposed Solution,Effective Solution,Changelog/Edits Made,Timestamp of First Reported,Timestamp of Fix Acknowledged by User
11,Message obfuscated to receiver,Receiver sees garbled text instead of secret when clicking View Secret,Ciphertext stored in DB as base64 but recipient view tries to convert raw bytes to UTF-8 string instead of decrypting,Use decryptSecret function with proper envelope instead of direct UTF-8 conversion,Updated actions.ts to construct proper envelope and call decryptSecret before sending plaintext to recipient,src/bot/actions.ts: Use decryptSecret with envelope instead of Buffer.toString utf-8,28 July 2026 18:00:00PM IST,28 July 2026 18:30:00PM IST
12,No message seen in channel where initiated,When /secret @user is run in a channel the placeholder doesn't appear there,Origin channel ID extraction failing - falling back to unknown and posting to DM,Fixed channel ID extraction to properly get channel from body or open DM as fallback,Updated modals.ts with better channel ID extraction and fallback logic,src/bot/modals.ts: Improved originChannelId extraction with DM fallback,28 July 2026 18:00:00PM IST,28 July 2026 18:30:00PM IST
13,Column encrypted_data_key does not exist,Database error when trying to create secret - column missing from secrets table,Migration 002_add_encrypted_data_key.sql not applied successfully during earlier session,Manually ran ALTER TABLE to add column then verified it exists,Created migration file and ran manually via psql command,src/db/migrations/002_add_encrypted_data_key.sql: Created file src/db/secrets.ts: Added column to schema,28 July 2026 19:00:00PM IST,28 July 2026 19:05:00PM IST
14,Wrong secret key for ciphertext,Crypto error when decrypting - wrong secret key for given ciphertext,encryptDataKey generates random nonce but decryptDataKey uses zero nonce - they don't match,Fixed decryptDataKey to extract nonce from beginning of encrypted data instead of using zero nonce,src/crypto/master.ts: Fixed decryptDataKey to extract nonce from encrypted data,28 July 2026 19:30:00PM IST,28 July 2026 19:35:00PM IST
15,nonce.copy is not a function,Runtime error when trying to copy nonce during encryption,libsodium returns Uint8Array not Buffer - Uint8Array has no copy method,Wrapped sodium output with Buffer.from to convert to Buffer before using copy,src/crypto/master.ts: Wrapped nonce and encrypted output with Buffer.from,28 July 2026 19:45:00PM IST,28 July 2026 19:50:00PM IST
16,trigger_id not defined for view opening,Error opening modal for sender self-view - trigger_id required but not available,SocketModeReceiverOptions doesn't accept signingSecret and trigger_id not passed from Bolt action args,Moved signingSecret to App constructor Instead of opening modal for sender use ephemeral message,src/index.ts: Moved signingSecret to App constructor src/bot/actions.ts: Changed sender self-view to use ephemeral message,28 July 2026 20:00:00PM IST,28 July 2026 20:15:00PM IST
17,Ephemeral messages don't self-destruct,Sender ephemeral messages stay in DM history indefinitely creating security risk,Ephemeral messages in Slack don't auto-delete - they persist in conversation history,Schedule BullMQ job to delete ephemeral message after 5 minutes using chat.delete,Added delete job scheduling after sending ephemeral message in handleSenderSelfView,src/bot/actions.ts: Schedule delete job for ephemeral message after sending,28 July 2026 21:00:00PM IST,28 July 2026 21:05:00PM IST
18,Hide Secret button not appearing,After recipient views secret the placeholder stays as View Secret instead of showing Hide Secret,chat.update call failing silently - message ts or channel id not available in action body,Added debug logging to identify missing fields and improved message ts extraction,src/bot/actions.ts: Added detailed logging for placeholder update conditions,28 July 2026 22:00:00PM IST,28 July 2026 22:30:00PM IST
19,Cancel doesn't delete placeholder message,When sender revokes the secret the placeholder message with buttons still stays in channel,chat.delete for placeholder not working - likely message ts not available in action body,Improved cancel action with better message ts extraction and logging,src/bot/actions.ts: Enhanced cancel action with fallback message ts extraction,28 July 2026 23:00:00PM IST,28 July 2026 23:15:00PM IST
20,Permanent announcement missing in channel,User wants permanent message in channel showing who sent secret to whom that doesn't get deleted,Only interactive placeholder was posted - no permanent announcement message,Added separate permanent announcement message that stays in channel after interactive placeholder is deleted,src/bot/modals.ts: Post permanent announcement alongside interactive placeholder src/slack/view-builder.ts: Added buildPermanentAnnouncementBlocks,28 July 2026 23:30:00PM IST,28 July 2026 23:45:00PM IST
21,Dynamic configuration without restart,User wants to modify timing configs without restarting the bot,No dynamic config system - all timings hardcoded in constants or .env,Implemented config file with hot-reload polling every 60 seconds,src/config/timing.ts: Created dynamic config loader with polling src/bot/modals.ts: Use config for expiry src/bot/actions.ts: Use config for delete delay,28 July 2026 23:50:00PM IST,28 July 2026 23:55:00PM IST
22,Hide Secret button should delete instantly,User wants Hide Secret to delete message immediately skipping the 5-minute timer,Hide Secret action not implemented - only placeholder update was done,Implemented handleHideAction that deletes DM message and placeholder instantly,src/bot/actions.ts: Added handleHideAction src/index.ts: Registered secret:hide action src/slack/view-builder.ts: Added buildAfterViewPlaceholderBlocks with Hide Secret button,28 July 2026 23:55:00PM IST,28 July 2026 23:58:00PM IST
